gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
1.1887,0.0000,0.0000,,1.1887,0.0000,36,1,2,2,0,0,0,0,examples/hotrod/services/route/stats.go
1.1790,0.4946,0.4946,,2.3329,1.1538,703,13,121,74,1,15,0,0,internal/storage/elasticsearch/config/config.go
1.1627,0.0000,0.0000,,1.1627,0.0000,48,2,0,18,0,0,0,0,cmd/es-rollover/app/init/flags.go
1.1560,0.0000,0.0000,,1.1560,0.0000,159,11,25,17,0,0,0,0,internal/storage/v2/v1adapter/translator.go
1.1553,0.2572,0.2572,,1.5553,0.4000,96,5,10,26,0,2,0,0,internal/config/tlscfg/flags.go
1.1500,0.0000,0.0000,,1.1500,0.0000,34,3,9,3,0,0,0,0,scripts/ai-sidecar/gemini/sidecar_helpers.py
1.1377,0.0000,0.0000,,1.1377,0.0000,126,7,15,11,0,0,0,0,internal/storage/v1/cassandra/schema/schema.go
1.1305,0.2017,0.2017,,1.4162,0.2857,219,7,27,12,0,2,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/handlers/get_trace_topology.go
1.1176,0.0000,0.0000,,1.1176,0.0000,97,4,13,3,0,0,0,0,examples/hotrod/pkg/tracing/rpcmetrics/metrics.go
1.1122,0.3748,0.3748,,1.7788,0.6667,131,3,14,11,0,2,0,0,cmd/tracegen/main.go
1.1095,0.0000,0.0000,,1.1095,0.0000,300,0,0,8,0,0,0,0,internal/storage/v2/clickhouse/sql/queries.go
1.1095,0.0000,0.0000,,1.1095,0.0000,28,1,0,8,0,0,0,0,ports/ports.go
1.1041,0.0000,0.0000,,1.1041,0.0000,70,3,10,2,0,0,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/adjuster/ipattribute.go
1.0986,0.0918,0.0918,,1.2097,0.1111,139,9,19,18,0,1,0,0,internal/storage/v1/elasticsearch/mappings/mapping.go
1.0896,0.4234,0.4234,,1.8896,0.8000,101,5,18,24,2,4,0,0,scripts/lint/updateLicense.py
1.0893,0.3960,0.3960,,1.8036,0.7143,174,7,24,31,2,5,0,0,scripts/e2e/compare_metrics.py
1.0777,0.4813,0.4813,,2.0777,1.0000,80,1,13,2,0,1,0,0,cmd/internal/storageconfig/factory.go
1.0575,0.0000,0.0000,,1.0575,0.0000,65,4,21,0,0,0,0,0,internal/jptrace/spankind.go
1.0567,0.2398,0.2398,,1.3900,0.3333,56,3,2,13,3,1,0,0,scripts/ai-sidecar/gemini/main.py
1.0547,0.3216,0.3216,,1.5547,0.5000,29,2,2,10,2,1,0,0,scripts/utils/ids-to-base64.py
1.0503,0.0000,0.0000,,1.0503,0.0000,223,13,28,15,0,0,0,0,internal/storage/metricstore/elasticsearch/processor.go
1.0448,0.0000,0.0000,,1.0448,0.0000,65,3,7,3,0,0,0,0,cmd/internal/printconfig/command.go
1.0448,0.0000,0.0000,,1.0448,0.0000,116,6,14,6,0,0,0,0,internal/storage/v1/badger/spanstore/cache.go
1.0396,0.0000,0.0000,,1.0396,0.0000,62,4,6,7,0,0,0,0,internal/metrics/metricsbuilder/builder.go
1.0340,0.0000,0.0000,,1.0340,0.0000,48,0,5,0,0,0,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/types/get_span_details.go
1.0334,0.0000,0.0000,,1.0334,0.0000,115,6,17,4,0,0,0,0,internal/auth/bearertoken/grpc.go
1.0264,0.3674,0.3674,,1.6225,0.5962,1034,52,143,212,6,31,0,0,scripts/lint/dco_check.py
