gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
2.1414,0.0000,0.0000,,2.1414,0.0000,72,1,9,4,0,0,0,0,pkg/services/ldap/api/support_bundle.go
2.1302,0.0000,0.0000,,2.1302,0.0000,81,2,11,14,0,0,0,0,pkg/services/libraryelements/accesscontrol.go
2.1082,0.1917,0.1917,,2.6082,0.5000,527,14,127,161,0,7,0,0,pkg/services/ngalert/api/compat_contact_points.go
2.1055,0.0000,0.0000,,2.1055,0.0000,47,1,6,6,0,0,0,0,pkg/aggregator/apiserver/plugin/admission/mutation.go
2.1047,0.0000,0.0000,,2.1047,0.0000,54,1,7,5,0,0,0,0,pkg/tsdb/tempo/traceql/exemplars.go
2.1047,0.0000,0.0000,,2.1047,0.0000,47,1,7,5,0,0,0,0,pkg/registry/apis/iam/user/legacy_search_fake.go
2.0838,0.0000,0.0000,,2.0838,0.0000,47,1,10,3,0,0,0,0,pkg/registry/apps/alerting/notifications/timeinterval/authorize.go
2.0838,0.0000,0.0000,,2.0838,0.0000,47,1,10,3,0,0,0,0,pkg/registry/apps/alerting/notifications/templategroup/authorize.go
2.0826,0.0000,0.0000,,2.0826,0.0000,67,1,1,27,0,0,0,0,pkg/setting/setting_cloud_migration.go
2.0806,0.0000,0.0000,,2.0806,0.0000,43,1,8,4,0,0,0,0,pkg/registry/apps/alerting/rules/alertrule/authorize.go
2.0806,0.0000,0.0000,,2.0806,0.0000,43,1,8,4,0,0,0,0,pkg/registry/apps/alerting/rules/recordingrule/authorize.go
2.0795,0.0643,0.0643,,2.2224,0.1429,252,7,53,42,0,1,0,0,apps/provisioning/pkg/repository/validator.go
2.0471,0.0000,0.0000,,2.0471,0.0000,145,4,23,22,0,0,0,0,pkg/registry/apis/dashboard/snapshot/conversions.go
2.0340,0.0000,0.0000,,2.0340,0.0000,29,1,2,15,0,0,0,0,pkg/setting/setting_data_proxy.go
2.0301,0.1976,0.1976,,2.5301,0.5000,197,4,30,48,0,2,0,0,pkg/services/sqlstore/database_config.go
2.0276,0.0000,0.0000,,2.0276,0.0000,465,11,111,28,0,0,0,0,pkg/registry/apis/provisioning/openapi_version.go
2.0142,0.0000,0.0000,,2.0142,0.0000,73,0,0,53,0,0,0,0,pkg/services/authz/zanzana/zanzana.go
2.0047,0.0000,0.0000,,2.0047,0.0000,192,1,1,23,0,0,0,0,pkg/services/serviceaccounts/models.go
1.9999,0.2667,0.2667,,2.7272,0.7273,717,11,203,71,0,8,0,0,pkg/util/xorm/session_insert.go
1.9920,0.0000,0.0000,,1.9920,0.0000,101,4,19,24,0,0,0,0,pkg/registry/apis/secret/validator/keeper.go
1.9754,0.0000,0.0000,,1.9754,0.0000,89,2,13,8,0,0,0,0,pkg/services/ngalert/backtesting/eval_data.go
1.9662,0.1015,0.1015,,2.1884,0.2222,847,9,79,38,1,1,1,0,pkg/tests/testinfra/testinfra.go
1.9660,0.0000,0.0000,,1.9660,0.0000,189,3,15,16,0,0,0,0,apps/provisioning/pkg/apis/provisioning/v0alpha1/register.go
1.9613,0.0000,0.0000,,1.9613,0.0000,119,2,18,5,0,0,0,0,pkg/services/store/resolver/ds_cache.go
1.9595,0.0000,0.0000,,1.9595,0.0000,121,2,14,7,0,0,0,0,apps/dashboard/pkg/migration/schemaversion/v31.go
1.9443,0.0210,0.0210,,1.9860,0.0417,706,24,203,70,0,1,0,0,pkg/services/store/kind/dashboard/dashboard.go
