gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
1.4000,0.0000,0.0000,,1.4000,0.0000,75,1,3,1,1,0,0,0,tsdb/tsdbutil/dir_locker_testutil.go
1.3840,0.0000,0.0000,,1.3840,0.0000,48,1,5,1,0,0,0,0,promql/parser/posrange/posrange.go
1.3838,0.0000,0.0000,,1.3838,0.0000,54,1,10,0,0,0,0,0,util/osutil/hostname.go
1.3719,0.0000,0.0000,,1.3719,0.0000,223,12,46,18,0,0,0,0,util/documentcli/documentcli.go
1.3547,0.0000,0.0000,,1.3547,0.0000,46,1,3,2,0,0,0,0,model/histogram/test_utils.go
1.3414,0.0000,0.0000,,1.3414,0.0000,46,2,3,8,0,0,0,0,util/kahansum/kahansum.go
1.3371,0.2303,0.2303,,1.7371,0.4000,581,20,91,68,0,8,0,0,model/histogram/histogram.go
1.3288,0.0000,0.0000,,1.3288,0.0000,42,1,9,0,0,0,0,0,util/almost/almost.go
1.3106,0.0000,0.0000,,1.3106,0.0000,116,5,16,8,0,0,0,0,tsdb/chunks/queue.go
1.2944,0.0378,0.0378,,1.3452,0.0508,2135,118,377,211,0,6,0,0,promql/functions.go
1.2801,0.2664,0.2664,,1.7449,0.4648,2062,71,344,228,0,16,0,17,tsdb/head_append.go
1.2709,0.3146,0.3146,,1.8543,0.5833,353,12,68,42,0,4,0,3,tsdb/head_append_v2.go
1.2677,0.0000,0.0000,,1.2677,0.0000,97,5,6,20,0,0,0,0,storage/remote/stats.go
1.2643,0.0000,0.0000,,1.2643,0.0000,360,20,55,34,0,0,0,0,model/textparse/nhcbparse.go
1.2600,0.0473,0.0473,,1.3225,0.0625,409,16,68,17,0,1,0,0,storage/remote/azuread/azuread.go
1.2548,0.0000,0.0000,,1.2548,0.0000,204,10,18,27,0,0,0,0,discovery/eureka/eureka.go
1.2443,0.2717,0.2717,,1.7086,0.4643,701,28,145,75,0,13,0,0,model/textparse/openmetricsparse.go
1.2393,0.0000,0.0000,,1.2393,0.0000,112,5,18,3,2,0,0,0,tsdb/fileutil/fileutil.go
1.2179,0.1976,0.1976,,1.5179,0.3000,274,10,36,23,1,3,0,0,notifier/manager.go
1.1964,0.0000,0.0000,,1.1964,0.0000,446,26,62,43,0,0,0,0,tsdb/chunkenc/xor.go
1.1962,0.0000,0.0000,,1.1962,0.0000,76,3,10,3,0,0,0,0,util/pool/pool.go
1.1887,0.0000,0.0000,,1.1887,0.0000,32,1,2,2,0,0,0,0,storage/remote/otlptranslator/prometheusremotewrite/context.go
1.1845,0.2405,0.2405,,1.5595,0.3750,226,8,24,28,0,3,0,0,discovery/aws/lightsail.go
1.1736,0.0000,0.0000,,1.1736,0.0000,385,30,85,36,0,0,0,0,promql/parser/printer.go
1.1725,0.3972,0.3972,,1.9452,0.7727,854,22,119,102,0,17,0,0,model/histogram/generic.go
1.1577,0.5524,0.5524,,2.5862,1.4286,794,14,146,131,0,20,0,0,discovery/aws/elasticache.go
1.1560,0.0295,0.0295,,1.1911,0.0351,810,57,127,101,0,2,0,0,storage/merge.go
1.1556,0.4639,0.4639,,2.1556,1.0000,136,3,22,16,0,3,0,0,discovery/moby/services.go
1.1500,0.0000,0.0000,,1.1500,0.0000,34,1,3,1,0,0,0,0,tsdb/fileutil/dir.go
1.1205,0.2385,0.2385,,1.4714,0.3509,1114,57,206,126,0,20,0,0,tsdb/querier.go
1.1185,0.2511,0.2511,,1.4935,0.3750,235,8,22,21,2,3,0,0,discovery/puppetdb/puppetdb.go
1.1084,0.0550,0.0550,,1.1729,0.0645,533,31,88,37,0,2,0,0,util/teststorage/appender.go
1.0959,0.0290,0.0290,,1.1287,0.0328,754,61,114,110,0,2,0,0,storage/buffer.go
1.0932,0.4777,0.4777,,2.0932,1.0000,98,2,9,16,0,2,0,0,discovery/moby/nodes.go
1.0917,0.0000,0.0000,,1.0917,0.0000,766,57,111,87,0,0,0,0,model/labels/labels_dedupelabels.go
1.0896,0.5792,0.5792,,2.5896,1.5000,175,2,24,16,0,3,0,0,discovery/scaleway/baremetal.go
1.0729,0.0000,0.0000,,1.0729,0.0000,97,5,6,12,0,0,0,0,discovery/targetgroup/targetgroup.go
1.0674,0.3735,0.3735,,1.7037,0.6364,336,11,46,38,0,7,0,0,discovery/dns/dns.go
1.0636,0.0946,0.0946,,1.1747,0.1111,191,9,12,26,0,1,0,0,discovery/vultr/vultr.go
1.0618,0.0000,0.0000,,1.0618,0.0000,74,3,6,4,0,0,0,0,notifier/alertmanager.go
1.0594,0.1588,0.1588,,1.2594,0.2000,885,55,142,100,0,11,0,0,storage/remote/codec.go
1.0182,0.2692,0.2692,,1.3932,0.3750,486,24,100,34,0,9,0,0,model/textparse/promparse.go
1.0169,0.0000,0.0000,,1.0169,0.0000,624,54,88,80,0,0,0,0,model/labels/labels_stringlabels.go
1.0145,0.3538,0.3538,,1.5700,0.5556,960,36,165,77,0,20,0,0,tsdb/record/record.go
0.9975,0.2227,0.2227,,1.2832,0.2857,165,7,20,12,0,2,0,0,notifier/alertmanagerset.go
0.9912,0.3019,0.3019,,1.4198,0.4286,217,7,19,19,0,3,0,0,discovery/gce/gce.go
0.9840,0.0000,0.0000,,0.9840,0.0000,96,4,8,4,0,0,0,0,util/httputil/compression.go
0.9818,0.1952,0.1952,,1.2199,0.2381,454,21,52,29,4,5,0,0,discovery/marathon/marathon.go
0.9766,0.2424,0.2424,,1.2891,0.3125,299,16,39,32,1,3,0,2,documentation/examples/remote_storage/remote_storage_adapter/influxdb/client.go
0.9695,0.0000,0.0000,,0.9695,0.0000,461,45,72,58,0,0,0,0,model/labels/labels_slicelabels.go
0.9590,0.0000,0.0000,,0.9590,0.0000,154,8,16,6,1,0,0,0,documentation/examples/custom-sd/adapter/adapter.go
0.9588,0.1800,0.1800,,1.1693,0.2105,305,19,53,23,0,4,0,0,storage/fanout.go
0.9493,0.0000,0.0000,,0.9493,0.0000,126,10,15,13,0,0,0,0,storage/memoized_iterator.go
0.9427,0.0000,0.0000,,0.9427,0.0000,52,3,4,3,1,0,0,0,tsdb/fileutil/flock_aix.go
0.9359,0.0000,0.0000,,0.9359,0.0000,149,8,11,11,0,0,0,0,promql/histogram_stats_iterator.go
0.9347,0.0160,0.0160,,0.9499,0.0152,903,66,117,69,0,1,0,0,tsdb/index/postings.go
0.9321,0.1015,0.1015,,1.0374,0.1053,324,19,45,18,0,2,0,0,cmd/promtool/analyze.go
0.9288,0.0000,0.0000,,0.9288,0.0000,40,1,4,0,0,0,0,0,util/httputil/cors.go
0.9288,0.0000,0.0000,,0.9288,0.0000,32,1,4,0,0,0,0,0,util/runutil/runutil.go
0.9288,0.0000,0.0000,,0.9288,0.0000,58,2,8,0,0,0,0,0,model/exemplar/exemplar.go
