score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
86.4250,1886,45.00,45.00,0.4201,6,74,vs/workbench/browser/parts/views/treeView.ts
86.0234,895,95.00,95.00,0.4263,3,47,vs/workbench/contrib/testing/browser/testResultsView/testResultsTree.ts
85.9063,993,86.00,86.00,0.5666,2,20,vs/workbench/api/common/extHostTreeViews.ts
80.5980,699,114.00,114.00,0.3521,3,40,vs/workbench/services/userDataSync/browser/userDataSyncWorkbenchService.ts
77.7282,1096,69.50,69.50,0.4752,6,75,vs/workbench/contrib/debug/browser/repl.ts
77.5560,701,110.00,110.00,0.5358,3,12,vs/platform/browserElements/electron-main/nativeBrowserElementsMainService.ts
74.1741,983,74.50,74.50,0.4977,7,31,vs/platform/extensionManagement/common/extensionsScannerService.ts
72.8839,607,119.00,119.00,0.5763,4,23,vs/workbench/browser/labels.ts
72.3615,1141,63.00,63.00,0.4660,6,3,vs/base/common/diff/diff.ts
71.6392,618,115.00,115.00,0.3434,3,17,vs/workbench/services/views/common/viewContainerModel.ts
70.5031,1754,39.14,39.14,0.4740,13,71,vs/workbench/contrib/files/browser/views/explorerViewer.ts
69.1280,1068,63.50,63.50,0.6001,14,34,vs/editor/contrib/find/browser/findController.ts
66.7685,771,85.00,85.00,0.4060,4,59,vs/workbench/contrib/interactive/browser/interactive.contribution.ts
66.7526,1435,45.88,45.88,0.3723,15,1,vs/base/common/path.ts
66.2911,1689,38.43,38.43,0.3789,3,72,vs/workbench/contrib/terminalContrib/chatAgentTools/browser/tools/runInTerminalTool.ts
62.4723,1111,55.00,55.00,0.6908,15,36,vs/workbench/services/dialogs/browser/simpleFileDialog.ts
61.5547,1031,59.00,59.00,0.4970,6,20,vs/editor/browser/controller/mouseTarget.ts
60.7306,2314,25.54,25.54,0.5817,15,52,vs/editor/common/model/textModel.ts
60.3971,1228,48.67,48.67,0.5824,7,12,vs/base/browser/ui/splitview/splitview.ts
59.7632,1035,56.00,56.00,0.6872,15,65,vs/workbench/contrib/mcp/browser/mcpCommands.ts
58.4824,712,81.00,81.00,0.4984,2,39,vs/workbench/browser/parts/titlebar/menubarControl.ts
57.5065,1004,55.67,55.67,0.5513,10,67,vs/workbench/contrib/testing/browser/testingOutputPeek.ts
56.2583,1349,41.67,41.67,1.0000,1,0,vs/base/browser/dompurify/dompurify.js
55.8634,2310,23.50,23.50,0.4063,4,82,vs/workbench/contrib/search/browser/searchView.ts
55.0775,1630,32.60,32.60,0.5021,15,71,vs/sessions/contrib/changes/browser/changesView.ts
54.6992,1926,27.75,27.75,0.7292,15,29,vs/editor/browser/coreCommands.ts
54.3711,879,61.00,61.00,0.4517,3,31,vs/workbench/contrib/notebook/browser/viewModel/notebookViewModelImpl.ts
53.3709,2137,24.00,24.00,0.3486,3,118,vs/workbench/api/common/extHost.api.impl.ts
52.6816,881,59.00,59.00,0.2694,2,28,vs/workbench/api/common/extHostChatSessions.ts
52.3422,511,101.00,101.00,0.5552,4,28,vs/editor/contrib/inlineCompletions/browser/model/renameSymbolProcessor.ts
52.0365,1161,44.00,44.00,0.5701,7,33,vs/sessions/contrib/copilotChatSessions/browser/copilotChatSessionsProvider.ts
51.5916,509,100.00,100.00,0.6136,5,23,vs/editor/common/services/modelService.ts
51.3518,717,70.50,70.50,0.6470,5,31,vs/editor/contrib/suggest/browser/suggestModel.ts
51.3124,2495,20.00,20.00,0.5703,15,37,vs/workbench/contrib/chat/common/model/chatModel.ts
51.0374,630,80.00,80.00,0.5103,4,21,vs/editor/browser/controller/mouseHandler.ts
51.0008,1023,48.67,48.67,0.6408,15,25,vs/editor/contrib/multicursor/browser/multicursor.ts
50.5131,1137,43.25,43.25,0.4884,8,54,vs/workbench/contrib/timeline/browser/timelinePane.ts
49.8945,853,57.50,57.50,0.7320,3,42,vs/workbench/browser/actions/developerActions.ts
48.7169,1805,26.45,26.45,0.6742,15,9,vs/platform/contextkey/common/contextkey.ts
47.4657,926,50.33,50.33,0.3718,2,40,vs/workbench/services/extensionManagement/browser/webExtensionsScannerService.ts
47.4049,817,57.50,57.50,0.5902,2,15,vs/workbench/contrib/codeEditor/common/languageConfigurationExtensionPoint.ts
45.8608,523,86.00,86.00,0.6287,5,36,vs/workbench/contrib/comments/browser/commentsView.ts
45.0862,1205,36.67,36.67,0.3484,4,36,vs/workbench/contrib/chat/browser/chatManagement/chatModelsWidget.ts
44.9399,920,48.00,48.00,0.5604,2,38,vs/workbench/contrib/chat/browser/aiCustomization/mcpListWidget.ts
43.7846,1121,38.00,38.00,0.2536,2,60,vs/workbench/contrib/preferences/browser/keybindingsEditor.ts
