score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
7.8985,659,11.45,11.45,1.0000,1,2,EFCore/ChangeTracking/Internal/EntryPropertyValues.cs
7.7858,873,8.17,8.17,1.0000,1,4,EFCore/Metadata/Conventions/ForeignKeyPropertyDiscoveryConvention.cs
7.6463,3298,2.12,2.12,1.0000,1,4,EFCore/Diagnostics/CoreLoggerExtensions.cs
7.6428,559,12.78,12.78,1.0000,1,3,EFCore/Storage/ValueConversion/ValueConverterSelector.cs
7.5404,1615,4.36,4.36,1.0000,1,3,EFCore/ChangeTracking/Internal/InternalEntryBase.cs
7.4890,3420,1.77,1.77,0.6470,15,4,EFCore/Extensions/EntityFrameworkQueryableExtensions.cs
7.2395,5086,1.21,1.21,1.0000,1,7,EFCore/Properties/CoreStrings.Designer.cs
7.1677,2124,3.14,3.14,1.0000,1,3,EFCore.Relational/Design/Internal/RelationalCSharpRuntimeAnnotationCodeGenerator.cs
7.0963,794,8.31,8.31,1.0000,1,3,EFCore.Relational/Query/RelationalQueryableMethodTranslatingExpressionVisitor.CreateSelect.cs
7.0372,643,10.40,10.40,1.0000,1,2,EFCore/ChangeTracking/Internal/ArrayPropertyValues.cs
7.0134,1196,5.57,5.57,1.0000,1,2,EFCore/Query/Internal/NavigationExpandingExpressionVisitor.ExpressionVisitors.cs
6.9803,1472,3.38,3.38,1.0000,1,13,EFCore.Design/Design/Internal/CSharpHelper.cs
6.9575,890,6.75,6.75,1.0000,1,6,EFCore.Design/Scaffolding/Internal/RelationalScaffoldingModelFactory.cs
6.9561,1507,3.59,3.59,1.0000,1,10,EFCore.Relational/Query/QuerySqlGenerator.cs
6.9024,636,10.07,10.07,1.0000,1,3,EFCore/ChangeTracking/Internal/InternalEntryBase.InternalComplexCollectionEntry.cs
6.8534,755,8.81,8.81,1.0000,1,1,EFCore.Relational/Metadata/Conventions/SharedTableConvention.cs
6.8308,1263,5.25,5.25,1.0000,1,1,EFCore.InMemory/Query/Internal/InMemoryQueryableMethodTranslatingExpressionVisitor.cs
