score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
1.8986,328,3.42,1.46,0.5674,15,15,core/handlers/asgi.py
1.8861,456,3.64,1.55,0.6355,15,9,dispatch/dispatcher.py
1.8847,451,2.26,0.96,0.5990,15,16,db/models/fields/files.py
1.8798,394,2.38,1.01,0.6251,15,17,db/backends/mysql/base.py
1.8701,373,3.22,1.37,0.6641,15,14,db/backends/base/creation.py
1.8560,583,1.72,0.73,0.6812,15,16,contrib/auth/hashers.py
1.8542,380,3.91,1.66,0.7640,15,11,utils/cache.py
1.8501,484,2.84,1.21,0.5931,15,11,core/serializers/xml_serializer.py
1.8436,634,2.62,1.12,0.6557,15,8,contrib/admin/filters.py
1.8407,511,3.50,1.49,0.7344,15,7,templatetags/i18n.py
1.8403,428,2.69,1.14,0.6986,15,14,db/backends/sqlite3/_functions.py
1.8377,358,2.50,1.06,0.5741,15,16,db/backends/sqlite3/operations.py
1.8348,359,5.89,2.51,0.6625,11,8,db/backends/mysql/introspection.py
1.8231,526,2.90,1.23,0.6542,15,9,forms/formsets.py
1.8162,359,4.19,1.78,0.6481,15,9,apps/registry.py
1.7860,378,3.52,1.50,0.6210,15,10,forms/forms.py
1.7560,222,4.38,1.87,0.7344,15,14,views/i18n.py
1.7485,508,1.97,0.84,0.6596,15,13,contrib/auth/models.py
1.7449,278,4.22,1.80,0.6704,15,11,contrib/staticfiles/finders.py
1.7232,277,3.53,1.50,0.5747,15,12,db/migrations/writer.py
1.7099,507,2.32,0.99,0.6629,15,10,contrib/gis/db/models/functions.py
1.6916,442,2.90,1.24,0.6198,15,8,template/library.py
1.6810,324,5.43,2.31,0.5725,9,10,contrib/humanize/templatetags/humanize.py
1.6626,224,4.82,2.05,0.6384,14,11,contrib/postgres/constraints.py
1.6582,386,2.82,1.20,0.5741,15,9,db/backends/mysql/operations.py
1.6554,363,3.65,1.56,0.6881,15,7,db/models/fields/tuple_lookups.py
1.6446,232,2.78,1.18,0.6194,12,18,contrib/auth/admin.py
1.6444,345,2.30,0.98,0.5741,15,12,db/backends/postgresql/operations.py
1.6380,443,2.57,1.09,0.5857,15,8,utils/feedgenerator.py
1.6344,262,5.91,2.52,1.0000,12,10,utils/formats.py
1.6282,236,3.53,1.50,0.7078,15,12,contrib/auth/middleware.py
1.6268,360,2.76,1.18,0.6857,15,10,contrib/gis/db/models/fields.py
1.6155,301,3.30,1.40,0.5782,15,9,db/models/sql/where.py
1.6106,240,1.91,0.81,0.5870,15,15,core/files/storage/memory.py
1.5943,208,2.57,1.10,0.6340,15,14,contrib/gis/gdal/layer.py
1.5941,292,2.62,1.12,0.5793,15,11,db/backends/utils.py
1.5922,325,2.39,1.02,0.6041,15,11,contrib/postgres/fields/array.py
1.5892,433,2.88,1.22,0.6641,15,6,db/backends/oracle/creation.py
1.5871,232,2.56,1.09,0.6119,15,13,core/servers/basehttp.py
1.5820,315,2.72,1.16,0.6316,15,10,db/migrations/questioner.py
1.5683,130,2.25,0.96,0.6251,15,16,contrib/gis/db/backends/postgis/base.py
1.5591,417,2.13,0.91,0.6271,15,9,contrib/postgres/search.py
1.5570,413,4.25,1.81,0.6625,10,6,db/backends/oracle/introspection.py
1.5385,207,3.17,1.35,0.6126,15,11,contrib/syndication/views.py
1.5370,227,2.79,1.19,0.5793,15,11,contrib/admindocs/utils.py
1.5352,241,9.50,4.05,0.6599,5,6,contrib/auth/checks.py
1.5292,434,1.88,0.80,0.6251,15,9,contrib/sessions/backends/base.py
1.5263,206,3.71,1.58,0.6984,15,10,template/engine.py
1.5201,215,2.33,0.99,0.5741,15,12,contrib/gis/db/backends/oracle/operations.py
1.5140,246,2.00,0.85,0.5824,15,12,test/selenium.py
1.5139,268,2.89,1.23,0.6160,15,9,utils/deprecation.py
1.5137,228,2.39,1.02,0.6742,15,12,contrib/auth/password_validation.py
1.5062,193,2.19,0.93,0.6455,15,13,core/files/storage/filesystem.py
1.5025,202,1.84,0.78,0.5741,15,13,contrib/gis/db/backends/spatialite/operations.py
1.4991,326,2.85,1.21,0.6356,15,7,forms/boundfield.py
1.4959,377,2.04,0.87,0.6777,15,9,core/paginator.py
1.4894,200,1.86,0.79,0.6251,15,13,tasks/base.py
1.4814,295,3.29,1.40,0.6260,15,6,contrib/gis/db/models/lookups.py
1.4690,229,2.83,1.21,0.5793,15,9,db/utils.py
1.4637,150,2.47,1.05,0.5754,15,12,core/cache/backends/filebased.py
1.4636,239,5.00,2.13,0.6316,12,7,apps/config.py
1.4598,219,3.77,1.61,0.6173,15,7,utils/encoding.py
1.4577,239,2.35,1.00,0.6251,15,10,views/generic/base.py
1.4561,321,3.14,1.34,0.6407,15,5,template/loader_tags.py
1.4466,345,2.58,1.10,0.6281,15,6,db/models/aggregates.py
1.4303,300,1.97,0.84,0.6334,15,9,contrib/postgres/fields/ranges.py
1.4230,359,2.32,0.99,0.6251,15,6,core/cache/backends/base.py
1.4209,340,2.73,1.16,0.6496,15,5,db/models/functions/datetime.py
1.4209,225,9.60,4.09,0.6465,6,3,contrib/gis/utils/ogrinspect.py
1.4189,356,2.82,1.20,0.6369,15,4,db/backends/postgresql/schema.py
1.4177,220,2.15,0.92,0.6352,15,10,core/signing.py
1.4139,149,2.60,1.11,0.6544,15,11,template/backends/django.py
1.4139,244,2.60,1.11,0.6252,15,8,utils/log.py
1.4095,198,4.00,1.70,0.6114,15,6,views/generic/list.py
1.4028,176,5.88,2.50,0.6503,10,10,core/mail/backends/smtp.py
1.4024,152,3.82,1.63,0.5793,12,12,core/management/utils.py
1.4014,316,2.05,0.87,0.5502,15,7,contrib/gis/gdal/srs.py
1.3978,354,2.93,1.25,0.6251,15,3,core/serializers/base.py
1.3942,181,4.12,1.76,0.6450,10,13,core/management/commands/runserver.py
1.3919,190,2.64,1.13,0.6380,15,9,contrib/gis/geoip2.py
1.3848,285,1.67,0.71,0.6199,15,9,contrib/gis/geos/prototypes/io.py
1.3816,222,2.86,1.22,0.6041,15,7,contrib/postgres/forms/array.py
1.3686,237,3.00,1.28,0.6369,15,6,db/backends/oracle/schema.py
1.3611,258,2.36,1.00,0.6415,15,7,core/cache/backends/db.py
1.3566,275,3.74,1.59,0.6243,15,2,db/transaction.py
1.3517,312,4.83,2.06,0.6625,8,6,db/backends/postgresql/introspection.py
1.3489,174,3.22,1.37,0.6596,13,10,contrib/admin/models.py
1.3451,294,2.83,1.21,0.6390,15,4,db/migrations/graph.py
1.3412,231,2.40,1.02,0.6296,15,7,contrib/gis/gdal/raster/band.py
1.3246,192,1.61,0.69,0.5793,15,9,forms/utils.py
1.3165,127,5.60,2.39,0.6458,14,6,db/models/fields/related_lookups.py
1.3142,170,1.75,0.75,0.5999,15,9,core/handlers/wsgi.py
1.3138,273,1.88,0.80,0.6711,15,7,utils/dateformat.py
1.3115,169,7.20,3.07,0.5771,7,9,core/management/commands/compilemessages.py
1.3089,211,2.35,1.00,0.6604,15,7,contrib/messages/storage/cookie.py
1.3079,200,1.94,0.83,0.6287,15,8,core/cache/backends/redis.py
1.3046,199,2.86,1.22,0.6504,15,6,db/models/fields/generated.py
1.3037,134,1.92,0.82,0.5741,15,9,contrib/gis/db/backends/mysql/operations.py
1.2906,236,2.88,1.23,0.5957,15,4,test/html.py
1.2892,96,1.56,0.66,0.5976,15,10,db/backends/postgresql/psycopg_any.py
1.2846,133,2.75,1.17,0.6349,14,9,contrib/gis/geos/libgeos.py
1.2831,196,2.47,1.05,0.6426,13,9,contrib/sessions/backends/file.py
1.2763,221,2.23,0.95,0.6333,15,6,utils/archive.py
1.2754,341,1.74,0.74,0.6574,15,5,db/models/fields/reverse_related.py
1.2744,205,4.56,1.94,0.6936,10,8,core/checks/model_checks.py
1.2726,300,1.71,0.73,0.6857,15,6,db/migrations/operations/fields.py
1.2702,161,2.86,1.22,0.6031,15,6,contrib/gis/geos/linestring.py
1.2698,174,4.40,1.87,0.6251,11,8,urls/base.py
1.2691,180,2.12,0.91,0.6251,15,7,core/files/storage/base.py
1.2665,173,2.40,1.02,0.6415,14,8,contrib/sessions/backends/db.py
1.2622,198,3.29,1.40,0.6625,15,4,db/backends/base/introspection.py
1.2569,361,1.77,0.75,0.6606,15,4,utils/functional.py
1.2555,212,2.12,0.90,0.6437,15,6,views/generic/edit.py
1.2519,189,2.12,0.90,0.5741,15,6,contrib/gis/db/backends/base/operations.py
1.2460,282,2.16,0.92,0.6529,15,4,contrib/auth/backends.py
1.2452,204,3.45,1.47,0.6198,14,4,db/migrations/migration.py
1.2425,198,2.48,1.05,0.6153,15,5,core/serializers/python.py
1.2362,190,2.35,1.00,0.7159,15,6,utils/timezone.py
1.2345,332,2.38,1.01,0.7055,15,2,contrib/gis/measure.py
1.2326,102,21.00,8.94,0.5691,2,3,utils/numberformat.py
1.2283,203,1.95,0.83,0.6605,15,6,contrib/gis/gdal/field.py
1.2277,152,4.86,2.07,0.6971,10,9,middleware/common.py
1.2209,275,1.51,0.64,0.5741,15,5,contrib/postgres/operations.py
1.2200,289,1.53,0.65,0.6249,15,5,db/models/functions/text.py
1.2128,193,4.00,1.70,0.7640,12,6,middleware/cache.py
1.2111,86,1.82,0.77,0.6221,15,8,contrib/postgres/fields/hstore.py
1.2027,248,2.33,0.99,0.6251,15,3,core/checks/security/base.py
1.2026,96,3.38,1.44,0.6416,12,10,core/serializers/json.py
1.2008,134,2.69,1.15,0.7114,12,10,views/decorators/http.py
1.1989,223,1.53,0.65,0.6874,15,6,contrib/gis/geos/coordseq.py
1.1983,165,2.50,1.06,0.6596,15,5,contrib/contenttypes/models.py
1.1973,140,2.30,0.98,0.6596,15,6,db/models/fields/composite.py
1.1918,131,1.41,0.60,0.5973,15,7,contrib/auth/base_user.py
1.1902,155,1.86,0.79,0.6296,15,6,core/cache/backends/memcached.py
1.1902,92,1.77,0.75,0.6167,13,10,contrib/staticfiles/handlers.py
1.1885,162,4.43,1.89,0.6181,12,5,views/generic/detail.py
1.1871,296,2.13,0.91,0.6275,15,2,utils/datastructures.py
1.1804,138,1.80,0.77,0.7516,15,7,templatetags/static.py
1.1797,118,9.50,4.05,0.6410,4,11,core/management/commands/optimizemigration.py
1.1783,175,1.55,0.66,0.6478,15,6,db/models/manager.py
1.1758,103,1.64,0.70,0.6350,15,7,contrib/gis/gdal/feature.py
1.1722,199,2.42,1.03,0.5825,15,3,contrib/postgres/indexes.py
1.1715,207,1.67,0.71,0.6517,15,5,core/files/uploadhandler.py
1.1547,215,2.20,0.94,0.6369,15,3,db/backends/mysql/schema.py
1.1540,175,3.33,1.42,0.6777,15,2,core/exceptions.py
1.1505,133,2.16,0.92,0.6371,15,5,contrib/gis/geos/point.py
1.1503,110,5.00,2.13,0.6857,13,5,contrib/gis/forms/fields.py
1.1503,153,1.36,0.58,0.6526,15,6,db/models/functions/math.py
1.1496,113,1.82,0.77,0.6515,15,6,contrib/auth/mixins.py
1.1473,159,2.47,1.05,0.6790,15,4,contrib/gis/geos/polygon.py
1.1446,144,4.25,1.81,0.6641,10,8,db/backends/sqlite3/creation.py
1.1392,182,2.85,1.21,0.6259,15,2,contrib/gis/gdal/envelope.py
1.1314,252,2.03,0.86,0.6461,15,2,template/context.py
1.1313,254,2.32,0.99,0.6297,15,1,contrib/gis/geos/mutable_list.py
1.1305,123,1.23,0.52,0.6359,15,6,core/files/uploadedfile.py
1.1282,176,3.00,1.28,0.6369,11,7,contrib/gis/db/backends/spatialite/schema.py
1.1281,161,3.83,1.63,0.6893,6,13,core/handlers/exception.py
1.1170,130,2.23,0.95,0.6251,15,4,core/files/base.py
1.1135,226,1.43,0.61,0.5461,15,3,db/backends/oracle/features.py
1.1105,162,5.50,2.34,0.5762,8,6,core/management/commands/showmigrations.py
1.1071,153,1.92,0.82,0.6713,15,4,templatetags/tz.py
1.1070,211,1.46,0.62,0.5461,15,3,db/backends/mysql/features.py
1.1018,185,2.45,1.05,0.6665,15,2,db/migrations/operations/special.py
1.1004,149,2.31,0.98,0.6340,15,3,db/models/sql/subqueries.py
1.0987,125,5.20,2.21,0.6126,7,10,contrib/sitemaps/views.py
1.0973,104,2.62,1.12,0.6757,12,8,template/backends/jinja2.py
1.0930,145,2.21,0.94,0.6251,15,3,db/migrations/operations/base.py
1.0894,97,2.22,0.95,0.6596,13,7,contrib/sites/models.py
1.0862,102,1.89,0.80,0.6833,14,6,contrib/gis/geos/collections.py
1.0854,148,2.05,0.87,0.6251,15,3,contrib/messages/storage/base.py
1.0846,99,2.50,1.06,0.6334,14,5,contrib/postgres/forms/ranges.py
1.0842,195,2.00,0.85,0.6275,15,2,db/models/sql/datastructures.py
1.0826,182,2.23,0.95,0.6602,15,2,utils/decorators.py
1.0814,100,1.69,0.72,0.7129,15,5,core/cache/backends/locmem.py
1.0745,51,2.00,0.85,0.6260,15,5,contrib/postgres/lookups.py
1.0736,176,1.64,0.70,0.5461,13,5,db/backends/postgresql/features.py
1.0642,68,1.71,0.73,0.6420,11,10,core/serializers/pyyaml.py
1.0634,125,4.33,1.85,0.6194,8,9,contrib/contenttypes/admin.py
1.0629,103,3.45,1.47,0.6547,12,6,utils/inspect.py
1.0584,56,1.00,0.43,0.6620,13,8,forms/renderers.py
1.0575,109,2.91,1.24,0.6602,10,9,contrib/auth/decorators.py
1.0572,142,2.21,0.94,0.7569,15,3,contrib/gis/gdal/prototypes/generation.py
1.0528,102,1.71,0.73,0.6367,14,5,core/files/locks.py
1.0485,91,2.10,0.89,0.6815,14,5,db/migrations/recorder.py
1.0479,135,2.17,0.92,0.6067,15,2,template/response.py
1.0430,134,1.57,0.67,0.6369,15,3,contrib/gis/db/backends/oracle/schema.py
1.0344,95,3.78,1.61,0.6739,13,4,utils/choices.py
1.0327,97,2.71,1.16,0.6176,12,6,contrib/gis/forms/widgets.py
1.0327,138,2.12,0.91,0.6689,15,2,db/models/functions/comparison.py
1.0210,105,2.10,0.89,0.6416,13,5,db/models/functions/json.py
1.0159,129,2.00,0.85,0.6761,15,2,contrib/gis/feeds.py
1.0148,90,2.60,1.11,0.6393,15,2,db/models/functions/window.py
1.0068,148,5.25,2.24,0.6465,8,5,contrib/gis/management/commands/ogrinspect.py
1.0028,212,1.60,0.68,0.7168,15,1,db/backends/ddl_references.py
0.9982,73,1.38,0.59,0.6281,15,3,contrib/gis/db/models/aggregates.py
0.9899,111,1.69,0.72,0.6596,15,2,contrib/gis/db/backends/base/models.py
0.9890,108,2.27,0.97,0.6623,13,4,contrib/auth/tokens.py
0.9880,62,1.38,0.59,0.6434,15,3,utils/connection.py
0.9844,91,3.33,1.42,0.5793,9,8,template/utils.py
0.9821,105,1.62,0.69,0.6606,15,2,utils/tree.py
0.9797,172,1.74,0.74,0.5908,15,0,template/smartif.py
0.9743,169,4.88,2.08,0.6566,7,5,shortcuts.py
0.9602,79,16.00,6.81,0.6126,2,6,contrib/contenttypes/views.py
0.9591,120,10.50,4.47,0.5102,3,4,utils/timesince.py
0.9538,132,3.62,1.54,1.0000,9,8,core/checks/urls.py
0.9529,190,8.00,3.41,0.5779,4,0,utils/termcolors.py
0.9459,63,1.55,0.66,0.6822,15,2,core/checks/messages.py
0.9447,59,2.50,1.06,0.6727,13,4,db/models/enums.py
0.9283,114,2.00,0.85,0.7250,13,3,contrib/gis/gdal/prototypes/errcheck.py
0.9281,83,3.50,1.49,0.6825,4,14,contrib/postgres/apps.py
0.9226,54,1.20,0.51,0.6700,14,3,contrib/gis/geos/prototypes/threadsafe.py
0.9216,73,1.56,0.66,0.7071,10,8,template/context_processors.py
0.9190,107,2.88,1.22,0.6481,11,4,core/checks/registry.py
0.9172,164,2.20,0.94,0.5461,7,8,db/backends/sqlite3/features.py
0.9150,119,7.67,3.27,0.6444,5,5,core/management/commands/createcachetable.py
0.9114,131,8.25,3.51,0.6455,5,3,utils/dateparse.py
0.9058,42,1.12,0.48,0.7071,14,3,urls/converters.py
0.9034,69,2.30,0.98,0.7067,13,3,db/models/functions/uuid.py
0.9011,116,2.73,1.16,0.7344,11,4,views/decorators/debug.py
0.8962,49,2.00,0.85,0.7321,15,1,contrib/postgres/aggregates/statistics.py
0.8941,98,9.00,3.83,0.6263,4,6,contrib/contenttypes/management/commands/remove_stale_contenttypes.py
0.8914,59,1.50,0.64,0.6851,11,6,contrib/postgres/aggregates/general.py
0.8875,58,2.30,0.98,0.7275,13,3,contrib/gis/db/models/sql/conversion.py
0.8847,75,1.80,0.77,0.6410,11,5,contrib/postgres/validators.py
0.8845,103,4.50,1.92,0.7516,5,10,views/static.py
0.8799,88,2.20,0.94,0.6602,12,3,contrib/admin/decorators.py
0.8782,107,2.83,1.21,0.6535,8,7,contrib/gis/gdal/datasource.py
0.8743,90,2.43,1.03,0.6251,7,9,tasks/backends/base.py
0.8734,167,5.75,2.45,0.5425,7,0,contrib/admin/static/admin/js/core.js
0.8725,110,3.57,1.52,0.5793,9,4,db/migrations/utils.py
0.8510,80,3.50,1.49,0.6729,10,4,template/loaders/cached.py
0.8395,110,1.50,0.64,0.6732,7,9,contrib/gis/gdal/libgdal.py
0.8392,58,1.33,0.57,0.6251,9,7,db/backends/dummy/base.py
0.8359,50,1.18,0.50,0.7071,14,1,contrib/auth/context_processors.py
0.8323,105,3.33,1.42,0.6171,8,5,contrib/admin/views/autocomplete.py
0.8294,101,3.33,1.42,0.7059,7,7,utils/version.py
0.8266,105,5.00,2.13,0.5381,6,5,utils/_os.py
0.8266,54,2.00,0.85,0.6276,10,5,core/serializers/jsonl.py
0.8231,135,3.83,1.63,0.5893,7,4,contrib/admin/templatetags/admin_modify.py
0.8207,86,1.22,0.52,0.5461,11,3,contrib/gis/db/backends/base/features.py
0.8204,110,2.50,1.06,0.6369,10,3,contrib/gis/db/backends/postgis/schema.py
0.8153,36,1.17,0.50,0.5605,13,1,utils/translation/trans_null.py
0.8106,66,2.43,1.03,0.6307,10,4,contrib/gis/serializers/geojson.py
0.8102,81,2.57,1.10,0.6641,9,5,db/backends/postgresql/creation.py
0.8006,95,2.17,0.92,0.6481,8,6,core/management/color.py
0.7967,126,2.33,0.99,0.7640,10,3,contrib/sessions/backends/cache.py
0.7937,72,3.67,1.56,0.6251,5,9,contrib/gis/db/backends/spatialite/base.py
0.7836,37,1.10,0.47,0.7851,12,3,contrib/gis/geos/prepared.py
0.7828,63,2.43,1.03,0.5793,10,3,core/files/utils.py
0.7826,90,4.60,1.96,0.6749,6,6,utils/module_loading.py
0.7821,33,1.00,0.43,0.6777,13,1,db/migrations/exceptions.py
0.7720,89,2.14,0.91,0.6369,9,4,contrib/gis/db/backends/mysql/schema.py
0.7699,84,7.33,3.12,0.5700,5,4,contrib/flatpages/templatetags/flatpages.py
0.7695,113,1.92,0.82,0.6921,9,4,contrib/sessions/backends/cached_db.py
0.7675,104,1.67,0.71,0.7253,11,2,contrib/messages/api.py
0.7661,88,2.60,1.11,0.6254,7,6,contrib/gis/gdal/driver.py
0.7625,134,3.00,1.28,0.5850,9,1,contrib/gis/gdal/geomtype.py
0.7609,69,2.29,0.97,0.6251,9,4,template/backends/base.py
0.7559,72,4.33,1.85,0.7078,5,8,contrib/sessions/middleware.py
0.7555,364,1.40,0.60,0.5461,7,2,db/backends/base/features.py
0.7515,64,3.00,1.28,0.6210,7,6,contrib/flatpages/forms.py
0.7492,51,2.00,0.85,0.6270,7,7,tasks/backends/dummy.py
0.7472,67,2.60,1.11,0.6578,8,5,contrib/gis/sitemaps/kml.py
0.7433,38,1.43,0.61,0.6692,12,1,db/models/fetch_modes.py
0.7400,81,2.33,0.99,0.5621,5,8,tasks/backends/immediate.py
0.7380,92,4.25,1.81,0.6641,6,5,db/backends/mysql/creation.py
0.7281,48,5.25,2.24,0.5669,5,7,template/autoreload.py
0.7218,65,2.60,1.11,0.6506,6,7,contrib/postgres/signals.py
0.7200,51,1.71,0.73,0.6691,9,4,contrib/gis/db/backends/postgis/adapter.py
0.7162,87,1.47,0.62,0.6525,10,2,contrib/sessions/backends/signed_cookies.py
0.7156,88,2.00,0.85,0.6874,9,3,contrib/gis/geos/prototypes/coordseq.py
0.7130,42,2.50,1.06,0.6270,7,6,template/backends/dummy.py
0.7128,58,2.80,1.19,0.5754,7,5,core/mail/backends/filebased.py
