score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
2.4588,751,2.49,2.49,0.6443,2,16,loader/spring-boot-loader/src/main/java/org/springframework/boot/loader/zip/ZipContent.java
2.4305,403,4.29,4.29,1.0000,1,26,core/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/JavaBeanBinder.java
2.4170,701,1.75,1.75,0.6254,2,40,module/spring-boot-quartz/src/main/java/org/springframework/boot/quartz/actuate/endpoint/QuartzEndpoint.java
2.4008,443,2.68,2.68,0.5431,5,34,loader/spring-boot-jarmode-tools/src/main/java/org/springframework/boot/jarmode/tools/ExtractCommand.java
2.3732,463,2.08,2.08,0.6613,2,49,core/spring-boot/src/main/java/org/springframework/boot/logging/logback/LogbackLoggingSystem.java
2.3723,385,3.44,3.44,0.6045,3,32,core/spring-boot/src/main/java/org/springframework/boot/web/servlet/ServletContextInitializerBeans.java
2.3670,545,2.82,2.82,0.5703,2,25,loader/spring-boot-loader/src/main/java/org/springframework/boot/loader/launch/PropertiesLauncher.java
2.3397,429,2.55,2.55,0.5198,2,41,core/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java
2.2956,513,2.72,2.72,0.5949,2,28,loader/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/Packager.java
2.2485,572,2.00,2.00,0.5821,5,30,buildpack/spring-boot-buildpack-platform/src/main/java/org/springframework/boot/buildpack/platform/docker/DockerApi.java
2.2267,357,1.55,1.55,1.0000,1,65,module/spring-boot-pulsar/src/main/java/org/springframework/boot/pulsar/autoconfigure/PulsarAutoConfiguration.java
2.2191,1100,1.33,1.33,0.2901,3,17,module/spring-boot-amqp/src/main/java/org/springframework/boot/amqp/autoconfigure/RabbitProperties.java
2.2130,505,2.30,2.30,1.0000,1,40,module/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/endpoint/annotation/EndpointDiscoverer.java
2.2078,491,1.90,1.90,0.4952,2,42,core/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/AutoConfigurationImportSelector.java
2.2066,239,3.38,3.38,1.0000,1,54,module/spring-boot-ldap/src/main/java/org/springframework/boot/ldap/autoconfigure/embedded/EmbeddedLdapAutoConfiguration.java
2.1958,617,2.98,2.98,0.4659,2,5,cli/spring-boot-cli/src/json-shade/java/org/springframework/boot/cli/json/JSONArray.java
2.1958,617,2.98,2.98,0.4659,2,5,configuration-metadata/spring-boot-configuration-processor/src/json-shade/java/org/springframework/boot/configurationprocessor/json/JSONArray.java
2.1958,617,2.98,2.98,0.4659,2,5,configuration-metadata/spring-boot-configuration-metadata/src/json-shade/java/org/springframework/boot/configurationmetadata/json/JSONArray.java
2.1830,516,2.03,2.03,0.5519,2,37,core/spring-boot/src/main/java/org/springframework/boot/convert/ApplicationConversionService.java
2.1603,373,4.25,4.25,1.0000,1,21,core/spring-boot/src/main/java/org/springframework/boot/json/JsonValueWriter.java
2.1376,353,4.21,4.21,1.0000,1,24,core/spring-boot/src/main/java/org/springframework/boot/context/properties/source/SpringIterableConfigurationPropertySource.java
2.1275,227,2.62,2.62,0.5736,2,53,module/spring-boot-webflux/src/main/java/org/springframework/boot/webflux/autoconfigure/actuate/web/WebFluxEndpointManagementContextConfiguration.java
2.0805,305,5.18,5.18,1.0000,1,18,core/spring-boot/src/main/java/org/springframework/boot/env/OriginTrackedPropertiesLoader.java
2.0557,545,2.07,2.07,0.6965,2,30,core/spring-boot/src/main/java/org/springframework/boot/builder/SpringApplicationBuilder.java
2.0534,404,2.71,2.71,0.6728,2,31,module/spring-boot-tomcat/src/main/java/org/springframework/boot/tomcat/TomcatWebServer.java
2.0462,313,2.38,2.38,0.5008,2,43,module/spring-boot-jersey/src/main/java/org/springframework/boot/jersey/actuate/endpoint/web/JerseyEndpointResourceFactory.java
2.0360,259,4.00,4.00,1.0000,1,38,module/spring-boot-data-redis/src/main/java/org/springframework/boot/data/redis/autoconfigure/LettuceConnectionConfiguration.java
